Timestamp,Subject #,Protocol #,Difficulty of Completing Tasks 5-14:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks  16-25: ,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 27-36:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 38-47:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 49-58:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 60-69:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 71-80:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 82-91:,Any comments or suggestions regarding the task?,Difficulty of Completing Tasks 91-102:,Any comments or suggestions regarding the task?,Any comments or suggestions regarding the overall experiment?
9/13/2023 14:49,14,2,2,,2,,3,,1,,1,Pressure is more comfortable than the last one,4,Difficult to adjust tightness ,1,,4,Not sure to hold with enough tightness,2,Hardness of feedback was a bit too strong ,"I felt three hardness conditions (none, weak, strong) and the weak feedback was the most comfortable for me. "
9/14/2023 11:06,15,3,2,,1,,2,,1,,2,,2,,1,,2,I was focused on not breaking the block,2,Focused on not breaking the blocking ,"The feedback was very helpful but also had me being more conscious about how I was manipulating the block
"
9/14/2023 16:12,17 (16),1,1,"The feedback was a little painful when the block turned red, so I was very incentivized not to have a sharp pressure on my wrist.",1,"The pressure wasn’t as painful as Round 1, so it was easier to learn at my own pace.",2,"Learning with haptics helped me a lot when dialing in how much force I needed to use, and I imagine I could learn to perform almost as well without haptics as with it so long as I train using haptics.",3,"The haptic pressure activated too early, making it hard to me to distinguish the threshold for turning red.",2,Nice hapticking!,1,"I feel like I learn faster with haptics than without them, but once I’ve learnt the right pressure I perform similarly regardless.",3,"The lack of visual cues definitely hindered my force perception, since the haptic feedback was so strong all the time.",2,"I feel like the loss of visual feedback didn’t affect this task much, the haptic feedback was sufficient for me.",2,It was definitely harder to do this task without visual feedback.,"I feel like haptic feedback helped me learn faster, but once I learned how much force to apply my performance was similar regardless of whether haptic feedback was enabled or not. Nice hapticizing!"
9/14/2023 19:54,18 (17),2,3,It seems to go red in the region above the hemisphere for some reason ,4,Seemed easier,4,"Hmm, the feedback seemed to have been distracting in the previous trials",4,I think it might be helpful to have two kinds of feedback - one for when the cube is bumping into a wall and one for when I’m squeezing too hard,4,Maybe shadows to help with perspective ,4,,4,It was alright,4,It was interesting not getting feedback ,4,N/A,"Hmmmm, it was a lot of fun. Very much interested in seeing how I compared to other subjects"
9/15/2023 10:43,19 (18),3,2,,3,,4,Much harder without feedback,3,,2,This feedback felt the most helpful,3,,4,,3,,2,,"Fun, but tricky without visual or tactile feedback!"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
mapping 1,,,,,,,,,,,,,,,,,,,,,
mapping3,,,,,,,,,,,,,,,,,,,,,
mapping5,,,,,,,,,,,,,,,,,,,,,
